privacy-aware-worker  | WARNING:app:No embed test passed; falling back to first matched env candidate: nomic-embed-text
privacy-aware-worker  | INFO:app:Configured Ollama embed model (enforced single): nomic-embed-text
privacy-aware-worker  | INFO:chromadb.telemetry.product.posthog:Anonymized telemetry enabled. See                     https://docs.trychroma.com/telemetry for more information.
privacy-aware-worker  | INFO:httpx:HTTP Request: GET http://chromadb:8000/api/v2/auth/identity "HTTP/1.1 200 OK"
privacy-aware-worker  | INFO:chromadb.telemetry.product.posthog:Anonymized telemetry enabled. See                     https://docs.trychroma.com/telemetry for more information.
privacy-aware-worker  | INFO:httpx:HTTP Request: GET http://chromadb:8000/api/v2/tenants/default_tenant "HTTP/1.1 200 OK"
privacy-aware-worker  | INFO:httpx:HTTP Request: GET http://chromadb:8000/api/v2/tenants/default_tenant/databases/default_database "HTTP/1.1 200 OK"
privacy-aware-worker  | INFO:httpx:HTTP Request: POST http://chromadb:8000/api/v2/tenants/default_tenant/databases/default_database/collections "HTTP/1.1 200 OK"
privacy-aware-worker  | INFO:app:Initializing Presidio Analyzer (loading NLP model en_core_web_md)...
privacy-aware-worker  | INFO:presidio-analyzer:Created NLP engine: spacy. Loaded models: ['en']
privacy-aware-worker  | INFO:presidio-analyzer:registry not provided, creating default.
privacy-aware-worker  | INFO:presidio-analyzer:Loaded recognizer: CreditCardRecognizer
privacy-aware-worker  | INFO:presidio-analyzer:Loaded recognizer: CreditCardRecognizer
privacy-aware-worker  | INFO:presidio-analyzer:Loaded recognizer: CreditCardRecognizer
privacy-aware-worker  | INFO:presidio-analyzer:Loaded recognizer: CreditCardRecognizer
privacy-aware-worker  | INFO:presidio-analyzer:Loaded recognizer: UsBankRecognizer
privacy-aware-worker  | INFO:presidio-analyzer:Loaded recognizer: UsLicenseRecognizer
privacy-aware-worker  | INFO:presidio-analyzer:Loaded recognizer: UsItinRecognizer
privacy-aware-worker  | INFO:presidio-analyzer:Loaded recognizer: UsPassportRecognizer
privacy-aware-worker  | INFO:presidio-analyzer:Loaded recognizer: UsSsnRecognizer
privacy-aware-worker  | INFO:presidio-analyzer:Loaded recognizer: NhsRecognizer
privacy-aware-worker  | INFO:presidio-analyzer:Loaded recognizer: EsNifRecognizer
privacy-aware-worker  | INFO:presidio-analyzer:Loaded recognizer: EsNieRecognizer
privacy-aware-worker  | INFO:presidio-analyzer:Loaded recognizer: ItDriverLicenseRecognizer
privacy-aware-worker  | INFO:presidio-analyzer:Loaded recognizer: ItFiscalCodeRecognizer
privacy-aware-worker  | INFO:presidio-analyzer:Loaded recognizer: ItVatCodeRecognizer
privacy-aware-worker  | INFO:presidio-analyzer:Loaded recognizer: ItIdentityCardRecognizer
privacy-aware-worker  | INFO:presidio-analyzer:Loaded recognizer: ItPassportRecognizer
privacy-aware-worker  | INFO:presidio-analyzer:Loaded recognizer: PlPeselRecognizer
privacy-aware-worker  | INFO:presidio-analyzer:Loaded recognizer: CryptoRecognizer
privacy-aware-worker  | INFO:presidio-analyzer:Loaded recognizer: DateRecognizer
privacy-aware-worker  | INFO:presidio-analyzer:Loaded recognizer: EmailRecognizer
privacy-aware-worker  | INFO:presidio-analyzer:Loaded recognizer: IbanRecognizer
privacy-aware-worker  | INFO:presidio-analyzer:Loaded recognizer: IpRecognizer
privacy-aware-worker  | INFO:presidio-analyzer:Loaded recognizer: MedicalLicenseRecognizer
privacy-aware-worker  | INFO:presidio-analyzer:Loaded recognizer: MacAddressRecognizer
privacy-aware-worker  | INFO:presidio-analyzer:Loaded recognizer: PhoneRecognizer
